Fecha;Descripcion es;Descripcion eu;Lugar es;Lugar eu;Provincia;Codigo Eustat;Latitud;Longitud
24/08/2016;San Bartolomé;Jaun Done Bartolome;Areatza  ;Areatza  ;Bizkaia;93;43,121079;-2,767771
11/11/2016;San Martín;Martin Deuna  ;Arrankudiaga;Arrankudiaga;Bizkaia;9;43,173503;-2,917886
21/12/2016;Santu Tomas;Santo Tomás ;Arratzu;Arratzu;Bizkaia;914;43,311667;-2,638611
11/11/2016;San Martín  ;San Martin  ;Arrieta  ;Arrieta  ;Bizkaia;10;43,340362;-2,769799
22/07/2016;La Magdalena;Madalena;Arrigorriaga;Arrigorriaga;Bizkaia;11;43,207520;-2,887839
08/09/2016;Andra Mari;Andra Mari;Artea  ;Artea  ;Bizkaia;23;43,133718;-2,784141
02/09/2016;San Antolin;San Antolin  ;Artzentales  ;Artzentales  ;Bizkaia;8;43,240556;-3,241389
29/06/2016;San Pedro  ;San Pedro;Atxondo  ;Atxondo  ;Bizkaia;91;43,130342;-2,585079
24/06/2016;San Juan  ;San Juan  ;Aulesti  ;Aulesti  ;Bizkaia;70;43,296084;-2,563355
29/09/2016;San Miguel;Mikel Deuna;Bakio  ;Bakio  ;Bizkaia;12;43,427778;-2,811389
24/10/2016;San Severino;San Seberino;Balmaseda  ;Balmaseda  ;Bizkaia;90;43,192866;-3,196942
16/07/2016;Virgen del Carmen  ;Karmengo Andra Maria  ;Barakaldo  ;Barakaldo  ;Bizkaia;13;43,297222;-2,991667
24/06/2016;San Juan;San Juan;Barrika  ;Barrika  ;Bizkaia;14;43,406384;-2,962425
13/10/2016;San Fausto  ;San Fausto  ;Basauri  ;Basauri  ;Bizkaia;15;43,233333;-2,883333
24/06/2016;San Juan;San Juan;Bedia  ;Bedia  ;Bizkaia;92;43,209374;-2,804965
04/08/2016;Santo Domingo de Guzmán;Guzmanezko Santu Domingo;Berango;Berango;Bizkaia;16;43,365899;-2,996356
08/09/2016;Almikako Andra Mari;Almikako Andra Mari;Bermeo  ;Bermeo  ;Bizkaia;17;43,420422;-2,722158
09/05/2016;San Pedro  ;San Pedro;Berriatua  ;Berriatua  ;Bizkaia;18;43,316667;-2,466667
29/06/2016;San Pedro  ;San Pedro;Berriz  ;Berriz  ;Bizkaia;19;43,193923;-2,589165
26/08/2016;Viernes de la Semana Grande;Aste Nagusiko Ostirala;Bilbao  ;Bilbao  ;Bizkaia;20;43,256963;-2,923441
26/07/2016;Santa Ana;Santa Ana;Busturia  ;Busturia  ;Bizkaia;21;43,383000;-2,697000
16/05/2016;San Isidro Labrador;Isidor Nekazari Deuna ;Derio  ;Derio  ;Bizkaia;901;43,302000;-2,881833
29/06/2016;San Pedro;Jaun Done Petri;Dima  ;Dima  ;Bizkaia;26;43,143389;-2,751464
13/10/2016;San Fausto;San Fausto;Durango;Durango;Bizkaia;27;43,169068;-2,632655
24/06/2016;San Juan;San Juan;Ea  ;Ea  ;Bizkaia;28;43,380135;-2,585593
29/06/2016;San Pedro;San Pedro;Elantxobe  ;Elantxobe  ;Bizkaia;31;43,403422;-2,639800
29/07/2016;Fiesta local;Tokiko jaieguna;Elorrio  ;Elorrio  ;Bizkaia;32;43,130387;-2,542155
26/05/2016;Corpus Christi;Corpus Christi;Erandio  ;Erandio  ;Bizkaia;902;43,307458;-2,946418
29/09/2016;San Miguel;Mikel Deuna;Ereño  ;Ereño  ;Bizkaia;33;43,356944;-2,621667
27/07/2016;Zezen eguna;Zezen eguna;Ermua  ;Ermua  ;Bizkaia;34;43,186642;-2,502607
13/06/2016;San Antonio;San Antonio;Errigoiti;Errigoiti;Bizkaia;79;43,318709;-2,725344
26/12/2016;San Esteban;Doneztebe;Etxebarri  ;Etxebarri  ;Bizkaia;29;43,247179;-2,890139
30/11/2016;San Andrés;Andres Deuna;Etxebarria  ;Etxebarria  ;Bizkaia;30;43,254146;-2,477354
11/11/2016;San Martin ;Martin Deuna ;Forua  ;Forua  ;Bizkaia;906;43,333712;-2,678589
10/08/2016;Fiesta local;Tokiko jai-eguna;Fruiz  ;Fruiz  ;Bizkaia;35;43,328889;-2,783333
14/09/2016;Exaltación de la Santa Cruz;Gurutze Santuaren Gorozpena;Galdakao  ;Galdakao  ;Bizkaia;36;43,230556;-2,845833
29/06/2016;San Pedro;San Pedro;Galdames  ;Galdames  ;Bizkaia;37;43,255000;-3,096389
11/11/2016;San Antolín  ;San Antolin  ;Gamiz-Fika  ;Gamiz-Fika  ;Bizkaia;38;43,311728;-2,810701
24/06/2016;San Juan;San Juan;Garai  ;Garai  ;Bizkaia;39;43,194722;-2,609722
25/04/2016;San Bartolomé;San Bartolome;Gatika  ;Gatika  ;Bizkaia;40;43,363889;-2,871944
26/01/2016;San Polikarpo;San Polikarpo;Gautegiz Arteaga;Gautegiz Arteaga;Bizkaia;41;43,353104;-2,650985
16/08/2016;Roke Deuna;Roke Deuna;Gernika-Lumo  ;Gernika-Lumo  ;Bizkaia;46;43,317073;-2,678975
10/08/2016;San Lorenzo;Lorentzo Deuna;Getxo  ;Getxo  ;Bizkaia;44;43,344167;-3,006389
08/09/2016;Andra Mari;Andra Mari;Gizaburuaga;Gizaburuaga;Bizkaia;47;43,331940;-2,536111
26/09/2016;San Cosme y San Damián;San Kosme eta San Damian;Gordexola  ;Gordexola  ;Bizkaia;42;43,178611;-3,072778
05/08/2016;Nª Sª de Agirre y de las Nieves;Edurne eta Agirreko Andra Mari;Gorliz  ;Gorliz  ;Bizkaia;43;43,416667;-2,933333
10/08/2016;San Lorenzo;San Lorentzo;Güeñes  ;Güeñes  ;Bizkaia;45;43,210321;-3,095317
26/05/2016;Corpues Christi;Corpues Christi;Ibarrangelu;Ibarrangelu;Bizkaia;48;43,390215;-2,633802
13/06/2016;San Antonio;San Antonio;Igorre;Igorre;Bizkaia;94;43,165833;-2,776111
26/07/2016;Santa Ana;Santa Ana;Ispaster;Ispaster;Bizkaia;49;43,362954;-2,544635
29/09/2016;San Miguel  ;San Migel  ;Iurreta  ;Iurreta  ;Bizkaia;910;43,176705;-2,633777
08/09/2016;Nuestra Señora de Erdoiza;Erdoizako Andra Maria  ;Izurtza  ;Izurtza  ;Bizkaia;50;43,152273;-2,641978
29/09/2016;San Miguel;San Migel;Valle de Carranza;Karrantza Harana;Bizkaia;22;43,225278;-3,359444
26/07/2016;Fiesta local;Tokiko jai-eguna;Kortezubi  ;Kortezubi  ;Bizkaia;907;43,335982;-2,654319
05/08/2016;Nª Sª de las Nieves;Edurneko Andra Mari;Lanestosa;Lanestosa;Bizkaia;51;43,221169;-3,439148
29/09/2016;San Miguel;Mikel Deuna;Larrabetzu;Larrabetzu;Bizkaia;52;43,260973;-2,796175
29/09/2016;San Miguel;Mikel Deuna;Laukiz;Laukiz;Bizkaia;53;43,353333;-2,906111
24/06/2016;San Juan;San Juan;Leioa ;Leioa ;Bizkaia;54;43,326097;-2,987704
02/09/2016;San Antolín  ;San Antolín;Lekeitio;Lekeitio;Bizkaia;57;43,365509;-2,503344
08/09/2016;Andra Maria;Andra Mari;Lemoa;Lemoa;Bizkaia;55;43,208759;-2,774116
17/10/2016;Fiesta local;Tokiko jai-eguna;Lemoiz;Lemoiz;Bizkaia;56;43,413244;-2,902253
08/09/2016;Andra Maria;Andra Maria;Lezama;Lezama;Bizkaia;81;43,272167;-2,832167
29/06/2016;San Pedro;San Pedro;Loiu;Loiu;Bizkaia;903;43,315000;-2,938333
10/02/2016;Miércoles de Ceniza;Hausterre eguna;Mallabia;Mallabia;Bizkaia;58;43,189651;-2,529969
21/10/2016;Santa Ursula;Santa Urtsula;Mañaria;Mañaria;Bizkaia;59;43,137485;-2,661135
29/09/2016;San Miguel;Mikel Deuna;Markina-Xemein;Markina-Xemein;Bizkaia;60;43,270604;-2,497155
10/08/2016;San Lorenzo;San Lorentzo jai-eguna;Maruri-Jatabe;Maruri-Jatabe;Bizkaia;61;43,382772;-2,874989
29/09/2016;San Miguel;San Migel;Mendata;Mendata;Bizkaia;62;43,283333;-2,633333
01/08/2016;San Pedro Ad Vincula;San Pedro Ad Vincula;Mendexa;Mendexa;Bizkaia;63;43,346389;-2,483333
16/08/2016;San Roque;San Roke eguna;Meñaka;Meñaka;Bizkaia;64;43,364464;-2,801795
26/07/2016;Santa Ana;Santa Ana;Morga;Morga;Bizkaia;66;43,297932;-2,752739
29/06/2016;San Pedro y San Pablo;San Pedro eta San Pablo;Mundaka;Mundaka;Bizkaia;68;43,407335;-2,698322
29/06/2016;San Pedro;San Pedro;Mungia;Mungia;Bizkaia;69;43,354410;-2,846714
29/06/2016;San Pedro;San Pedro;Munitibar-Arbatzegi Gerrikaitz;Munitibar-Arbatzegi Gerrikaitz;Bizkaia;7;43,265332;-2,591845
08/09/2016;Andra Maria;Andra Mari;Murueta;Murueta;Bizkaia;908;43,354463;-2,684153
24/06/2016;San Juan;San Juan;Muskiz;Muskiz;Bizkaia;71;43,323333;-3,121667
31/10/2016;Ultimo lunes de octubre;Urriaren azken astelehena;Muxika;Muxika;Bizkaia;67;43,289668;-2,692941
08/09/2016;Andra Maria;Andra Maria;Nabarniz;Nabarniz;Bizkaia;909;43,321597;-2,584400
17/08/2016;Día del pescador;Arrantzale eguna;Ondarroa;Ondarroa;Bizkaia;73;43,320698;-2,420475
02/09/2016;San Antolin;Antolin Deuna;Orozko;Orozko;Bizkaia;75;43,108611;-2,911111
18/05/2016;San Félix de Cantalicio;Kantalizioko San Felix;Ortuella;Ortuella;Bizkaia;83;43,311370;-3,055952
18/07/2016;Fiesta local;Tokiko jaieguna;Otxandio  ;Otxandio  ;Bizkaia;72;43,040447;-2,654584
22/07/2016;La Magdalena;Madalen;Plentzia  ;Plentzia  ;Bizkaia;77;43,404430;-2,950102
16/08/2016;San Roke;Roke Deuna;Portugalete  ;Portugalete  ;Bizkaia;78;43,320664;-3,020252
16/07/2016;Virgen del Carmen  ;Karmengo Andra Maria  ;Santurtzi  ;Santurtzi  ;Bizkaia;82;43,328711;-3,031772
29/06/2016;San Pedro Apostol;San Pedro Apostol;Sestao  ;Sestao  ;Bizkaia;84;43,309635;-3,006940
24/06/2016;San Juan;San Juan;Sondika  ;Sondika  ;Bizkaia;904;43,300063;-2,927103
29/06/2016;San Pedro;San Pedro;Sopelana  ;Sopelana  ;Bizkaia;85;43,378918;-2,983002
26/06/2016;Santa Ana;Santa Ana;Sopuerta  ;Sopuerta  ;Bizkaia;86;43,262778;-3,152500
